"Date","Price","Open","High","Low","Change %"
"Dec 30, 2014","101.420","101.950","102.560","100.870","-0.44%"
"Dec 29, 2014","101.870","101.860","101.950","101.300","0.17%"
"Dec 26, 2014","101.700","101.520","102.400","101.030","0.07%"
"Dec 25, 2014","101.630","101.130","101.630","101.130","0.00%"
"Dec 24, 2014","101.630","101.490","101.710","100.910","0.38%"
"Dec 23, 2014","101.250","101.280","102.080","100.690","0.06%"
"Dec 22, 2014","101.190","101.280","101.310","100.510","-0.06%"
"Dec 19, 2014","101.250","100.880","101.840","100.290","0.26%"
"Dec 18, 2014","100.990","101.360","101.920","100.480","-0.79%"
"Dec 17, 2014","101.790","102.030","102.220","101.090","0.13%"
"Dec 16, 2014","101.655","101.200","101.725","100.660","0.94%"
"Dec 15, 2014","100.710","100.000","101.210","99.430","1.04%"
"Dec 12, 2014","99.670","99.900","100.020","99.110","-0.07%"
"Dec 11, 2014","99.740","99.470","100.270","98.900","0.50%"
"Dec 10, 2014","99.240","99.140","99.270","98.560","0.22%"
"Dec 09, 2014","99.020","99.010","99.560","98.450","0.08%"
"Dec 08, 2014","98.940","99.100","99.630","98.430","0.10%"
"Dec 05, 2014","98.840","98.930","99.020","98.340","-0.25%"
"Dec 04, 2014","99.090","99.090","99.130","98.490","0.04%"
"Dec 03, 2014","99.050","98.990","99.630","98.440","0.03%"
"Dec 02, 2014","99.020","99.180","99.720","98.500","-0.22%"
"Dec 01, 2014","99.240","99.570","99.580","98.740","-0.01%"
"Nov 28, 2014","99.250","99.090","99.320","98.500","0.24%"
"Nov 27, 2014","99.010","98.880","99.070","98.390","0.05%"
"Nov 26, 2014","98.960","98.960","99.050","98.390","-0.03%"
"Nov 25, 2014","98.990","99.040","99.260","98.450","-0.12%"
"Nov 24, 2014","99.110","98.700","99.640","98.150","0.28%"
"Nov 21, 2014","98.830","98.940","99.050","98.290","-0.28%"
"Nov 20, 2014","99.110","99.250","100.050","98.590","-0.03%"
"Nov 19, 2014","99.140","98.930","99.690","98.360","0.35%"
"Nov 18, 2014","98.790","98.860","99.010","98.230","0.02%"
"Nov 17, 2014","98.770","98.590","99.350","98.100","0.01%"
"Nov 14, 2014","98.760","98.590","99.400","98.060","0.27%"
"Nov 13, 2014","98.490","98.370","98.550","97.870","0.07%"
"Nov 12, 2014","98.420","98.430","98.990","97.840","-0.07%"
"Nov 11, 2014","98.490","98.500","98.630","97.940","0.07%"
"Nov 10, 2014","98.420","98.310","98.920","97.810","-0.17%"
"Nov 07, 2014","98.590","98.430","98.680","97.880","0.34%"
"Nov 06, 2014","98.260","97.760","98.260","97.760","0.00%"
"Nov 05, 2014","98.260","98.160","98.880","97.640","0.01%"
"Nov 04, 2014","98.250","97.750","98.250","97.750","0.00%"
"Nov 03, 2014","98.250","98.400","98.410","97.700","0.06%"
"Oct 31, 2014","98.190","98.220","98.800","97.630","-0.14%"
"Oct 30, 2014","98.330","98.420","98.470","97.720","0.16%"
"Oct 29, 2014","98.170","98.000","98.190","97.490","0.05%"
"Oct 28, 2014","98.120","98.130","98.250","97.580","0.03%"
"Oct 27, 2014","98.090","97.870","98.190","97.380","0.04%"
"Oct 24, 2014","98.050","97.550","98.050","97.550","0.00%"
"Oct 23, 2014","98.050","97.550","98.050","97.550","0.00%"
"Oct 22, 2014","98.050","97.840","98.580","97.350","-0.06%"
"Oct 21, 2014","98.110","98.080","98.680","97.500","-0.08%"
"Oct 20, 2014","98.185","97.920","98.195","97.390","-0.13%"
"Oct 17, 2014","98.310","98.690","98.800","97.760","-0.65%"
"Oct 16, 2014","98.950","98.370","99.580","97.800","0.69%"
"Oct 15, 2014","98.270","97.770","98.270","97.770","0.00%"
"Oct 14, 2014","98.270","97.490","98.820","96.980","0.52%"
"Oct 13, 2014","97.760","98.080","98.090","97.250","-0.42%"
"Oct 10, 2014","98.170","97.840","98.660","97.280","0.49%"
